KEY,English,Turkish,German,Spanish,Italian,Portuguese,French,Hungarian,Polish,Russian,Malay,Czech,Thai,Chinese,Korean,Japanese,Arabic,Indonesian,Romanian,Vietnamese
NEW_LEVELS,NEW LEVELS,YENİ SEVİYELER,SCHON BALD,¡NUEVOS NIVELES,NUOVI LIVELLI,NOVOS NÍVEIS,NOUVEAUX NIVEAUX,ÚJ SZINTEK,NOWE POZIOMY,НОВЫЕ УРОВНИ,LEVEL BARU,NOVÉ ÚROVNĚ,เลเวลใหม่,更多關卡,새로운 레벨,NEWレベル,مراحل جديدة,TAHAP BAHARU,NIVELURILE URMĂTOARE,CÁC CẤP ĐỘ MỚI
COMING_SOON,COMING SOON,ÇOK YAKINDA!,NEUE LEVELS!,MUY PRONTO!,PROSSIMAMENTE!,EM BREVE!,TRÈS BIENTÔT !,HAMAROSAN!,JUŻ WKRÓTCE!,УЖЕ СКОРО!,SEGERA HADIR!,JIŽ BRZY!,เจอกันใหม่ เร็วๆนี้,敬請期待！,곧 출시!,近日公開！,قريبا!,AKAN DATANG!,ÎN CURÂND!,SẮP RA MẮT
SKIP,SKIP,GEÇ,AUSLASSEN,PASAR,SALTA,PULAR,PASSER,ÁTUGRÁS,POMIŃ,ПРОПУСТИТЬ,LEWAT,PŘESKOČIT,ข้าม,跳過,건너뛰기,スキップ,تخطي,LANGKAU,OMITE,BỎ QUA
SKIP_TEXT,WOULD YOU LIKE TO SKIP THIS LEVEL?,BU SEVİYEYİ GEÇMEK İSTER MİSİN?,MÖCHTEST DU DIESEN LEVEL AUSLASSEN?,¿QUIERES PASAR ESTE NIVEL?,VUOI SALTARE QUESTO LIVELLO?,DESEJA PULAR ESTE NÍVEL?,PASSER CE NIVEAU ?,ÁT SZERETNÉD UGRANI EZT A SZINTET?,CZY CHCESZ POMINĄĆ TEN POZIOM?,ХОЧЕШЬ ПРОПУСТИТЬ ЭТОТ УРОВЕНЬ?,ANDA INGIN MELEWATI LEVEL INI?,Chceš tuto úroveň přeskočit?,คุณต้องการข้ามเลเวลนี้,想跳過關卡嗎？,이 레벨을 건너뛰고 싶으세요?,このレベルをスキップしますか？,هل ترغب في تخطي هذه المرحلة؟,NAK LANGKAU TAHAP INI?,DOREȘTI SĂ OMIȚI ACEST NIVEL?,BẠN CÓ MUỐN BỎ QUA CẤP NÀY?
HOME_LEVELS,LEVELS,SEVİYELER,LEVELS!,NIVELES,LIVELLI,NÍVEIS,NIVEAUX,SZINTEK,POZIOMY,УРОВНИ,PERINGKAT,ÚROVNĚ,เลเวล,等級,레벨,レベル,المستويات,LEVEL,NIVELURI,MÀN CHƠI
UNLOCK_HINT,Unlock a Hint,İpucunu aç,Tipp freischalten,Desbloquear una pista,Sblocca un indizio,Desbloquear uma dica,Débloquer un indice,Tipp feloldása,Odblokuj podpowiedź,Разблокировать подсказку,Buka kunci Petunjuk,Odemkni nápovědu,ปลดล็อกคำใบ้,解鎖提示,힌트 잠금 해제,ヒントのロックを解除する,افتح تلميحًا,Buka petunjuk,Deblocați un indiciu,Mở khóa một gợi ý
SETTINGS_LANGUAGE,LANGUAGE,DİL,SPRACHE,IDIOMA,LINGUA,IDIOMA,LANGUE,NYELV,JĘZYK,ЯЗЫК,BAHASA,JAZYK,ภาษา,語言,언어,言語,اللغة,BAHASA,LIMBA,NGÔN NGỮ
LEVEL_END_WON,YOU WON,KAZANDIN,DU ERHÄLTST,GANASTE,HAI VINTO,VOCÊ GANHOU,VOUS GAGNEZ,NYERTÉL,WYGRYWASZ,ВЫ ВЫИГРАЛИ,ANDA MENANG,VYHRÁVÁŠ,คุณชนะ,你贏了,이겼습니다,あなたが勝ちました,لقد فزت,ANDA TELAH MENANG,AI CÂȘTIGAT,BẠN ĐÃ THẮNG
LEVEL_END_RESTART,RESTART,TEKRAR DENE,ERNEUT,REINICIAR,RICOMINCIA,RECOMEÇAR,RECOMMENCER,ÚJRAKEZDÉS,URUCHOM PONOWNIE,НАЧАТЬ ЗАНОВО,MULA SEMULA,RESTARTOVAT,เริ่มใหม่,重新開始,재시작,やり直す,إعادة,MULAI ULANG,REPORNIRE,KHỞI ĐỘNG LẠI
LEVEL_END_FAIL,YOU FAILED!,KAYBETTİN!,DAS WAR NICHTS!,FALLASTE!,HAI PERSO!,FALHOU!,RATÉ!,NEM SIKERÜLT!,NIE UDAŁO SIĘ!,ПРОВАЛ!,ANDA GAGAL!,PROHRÁVÁŠ!,คุณล้มเหลว!,你失敗了！,실패했습니다!,あなたが失敗した！,لقد فشلت!,ANDA GAGAL!,AI EȘUAT!,BẠN ĐÃ THUA!
